"drug","event","N_ij","PRR","chi_square","signal_flag","rank_disp","EBGM","EB05","EB95","gps_signal_flag","rank_gps","median_onset_days","weibull_shape","p_early_clustering","early_onset_pattern","rank_tto","borda_score","is_ground_truth","consensus_flag"
"Sitagliptin","Rash",84,0.456,55.069,FALSE,188,0.483,0.401,0.57,FALSE,188,85.5,1.312,0.9977,FALSE,21,326,FALSE,FALSE
"Glipizide","Lactic acidosis",150,0.561,53.499,FALSE,167,0.583,0.509,0.664,FALSE,167,91.5,1.397,1,FALSE,65,324,FALSE,FALSE
"Lisinopril","Rhabdomyolysis",125,0.559,44.337,FALSE,168,0.582,0.501,0.671,FALSE,168,95,1.542,1,FALSE,65,322,FALSE,FALSE
"Metformin","Hepatic failure",101,0.541,39.38,FALSE,169,0.567,0.479,0.664,FALSE,169,93,1.44,1,FALSE,65,320,FALSE,FALSE
"Losartan","Rash",99,0.537,39.749,FALSE,170,0.562,0.473,0.657,FALSE,170,85,1.45,1,FALSE,65,318,FALSE,FALSE
"Apixaban","Acute kidney injury",136,0.535,56.766,FALSE,171,0.558,0.481,0.639,FALSE,171,95,1.419,1,FALSE,65,316,FALSE,FALSE
"Glipizide","Dizziness",93,0.492,49.463,FALSE,181,0.518,0.434,0.608,FALSE,179,95,1.439,0.9999,FALSE,50,313,FALSE,FALSE
"Levothyroxine","Angioedema",115,0.521,51.843,FALSE,174,0.545,0.466,0.632,FALSE,174,100,1.433,1,FALSE,65,310,FALSE,FALSE
"Omeprazole","QT prolongation",90,0.485,49.775,FALSE,182,0.511,0.427,0.602,FALSE,182,98,1.426,0.9999,FALSE,50,309,FALSE,FALSE
"Warfarin","Headache",91,0.41,79.187,FALSE,203,0.436,0.366,0.51,FALSE,203,88,1.177,0.9707,FALSE,8,309,FALSE,FALSE
"Rosuvastatin","Angioedema",119,0.516,55.417,FALSE,175,0.54,0.46,0.622,FALSE,176,86,1.393,1,FALSE,65,307,FALSE,FALSE
"Rosuvastatin","Nausea",107,0.472,64.996,FALSE,184,0.497,0.422,0.58,FALSE,184,85,1.364,0.9999,FALSE,50,305,FALSE,FALSE
"Metformin","Rhabdomyolysis",116,0.511,55.594,FALSE,177,0.535,0.457,0.619,FALSE,177,93,1.529,1,FALSE,65,304,FALSE,FALSE
"Omeprazole","Peripheral oedema",79,0.415,66.494,FALSE,200,0.442,0.362,0.525,FALSE,200,93,1.337,0.9979,FALSE,23,300,FALSE,FALSE
"Lisinopril","QT prolongation",83,0.437,61.236,FALSE,196,0.464,0.385,0.548,FALSE,196,105,1.4,0.9995,FALSE,34,297,FALSE,FALSE
"Sertraline","Peripheral oedema",74,0.398,68.849,FALSE,208,0.425,0.348,0.507,FALSE,208,95,1.293,0.9921,FALSE,14,293,FALSE,FALSE
"Rosuvastatin","Myopathy",120,0.477,70.973,FALSE,183,0.502,0.431,0.575,FALSE,183,82,1.545,1,FALSE,65,292,FALSE,FALSE
"Ibuprofen","Hepatic failure",84,0.443,59.74,FALSE,193,0.47,0.392,0.552,FALSE,193,91,1.448,0.9998,FALSE,46,291,FALSE,FALSE
"Warfarin","Lactic acidosis",132,0.472,81.313,FALSE,184,0.496,0.429,0.565,FALSE,185,94.5,1.411,1,FALSE,65,289,FALSE,FALSE
"Atorvastatin","Rhabdomyolysis",93,0.406,83.391,FALSE,204,0.432,0.362,0.51,FALSE,204,90,1.341,0.9992,FALSE,28,287,FALSE,FALSE
"Losartan","Lactic acidosis",121,0.443,88.663,FALSE,193,0.467,0.398,0.534,FALSE,194,102,1.392,0.9999,FALSE,50,286,FALSE,FALSE
"Apixaban","Hyperkalemia",106,0.467,66.043,FALSE,187,0.492,0.417,0.572,FALSE,187,90.5,1.551,1,FALSE,65,284,FALSE,FALSE
"Atorvastatin","Hyperkalemia",101,0.44,73.99,FALSE,195,0.466,0.393,0.547,FALSE,195,104,1.433,0.9999,FALSE,50,283,FALSE,FALSE
"Metformin","Diarrhoea",99,0.454,66.619,FALSE,189,0.479,0.404,0.561,FALSE,189,98,1.608,1,FALSE,65,280,FALSE,FALSE
"Sertraline","QT prolongation",58,0.317,87.675,FALSE,218,0.344,0.276,0.42,FALSE,219,104.5,1.23,0.9579,FALSE,6,280,FALSE,FALSE
"Losartan","Hepatic failure",79,0.428,61.43,FALSE,199,0.455,0.376,0.542,FALSE,199,88,1.482,0.9998,FALSE,46,279,FALSE,FALSE
"Sertraline","Myopathy",109,0.454,74.109,FALSE,189,0.478,0.402,0.555,FALSE,190,98,1.695,1,FALSE,65,279,FALSE,FALSE
"Metformin","Hypoglycemia",60,0.317,90.239,FALSE,218,0.345,0.276,0.418,FALSE,218,73.5,1.275,0.9803,FALSE,9,278,FALSE,FALSE
"Amlodipine","Dizziness",87,0.448,59.996,FALSE,191,0.475,0.396,0.56,FALSE,191,108,1.601,1,FALSE,65,276,FALSE,FALSE
"Levothyroxine","Diarrhoea",80,0.385,80.843,FALSE,210,0.411,0.338,0.489,FALSE,210,99.5,1.378,0.9992,FALSE,28,275,FALSE,FALSE
"Omeprazole","Rhabdomyolysis",99,0.448,69.104,FALSE,191,0.473,0.398,0.552,FALSE,192,82,1.45,1,FALSE,65,275,FALSE,FALSE
"Rosuvastatin","Diarrhoea",81,0.373,88.133,FALSE,211,0.399,0.33,0.475,FALSE,211,101,1.393,0.9992,FALSE,28,273,FALSE,FALSE
"Warfarin","Dizziness",62,0.311,96.948,FALSE,220,0.339,0.273,0.41,FALSE,220,74.5,1.259,0.9814,FALSE,11,272,FALSE,FALSE
"Losartan","QT prolongation",78,0.412,66.617,FALSE,201,0.439,0.359,0.524,FALSE,201,95.5,1.526,0.9999,FALSE,50,271,FALSE,FALSE
"Lisinopril","Peripheral oedema",80,0.411,68.701,FALSE,202,0.438,0.363,0.521,FALSE,202,84,1.444,0.9999,FALSE,50,269,FALSE,FALSE
"Atorvastatin","Acute kidney injury",113,0.437,85.2,FALSE,196,0.461,0.395,0.535,FALSE,197,93,1.645,1,FALSE,65,265,FALSE,FALSE
"Rosuvastatin","Rhabdomyolysis",71,0.311,112.521,FALSE,220,0.337,0.274,0.406,FALSE,221,86,1.351,0.9971,FALSE,18,264,FALSE,FALSE
"Empagliflozin","Lactic acidosis",81,0.29,149.022,FALSE,226,0.313,0.259,0.373,FALSE,228,82,1.192,0.9668,FALSE,7,262,FALSE,FALSE
"Losartan","Hypoglycemia",79,0.429,61.061,FALSE,198,0.456,0.374,0.54,FALSE,198,100,1.614,1,FALSE,65,262,FALSE,FALSE
"Omeprazole","Diarrhoea",73,0.343,94.881,FALSE,216,0.369,0.303,0.442,FALSE,216,83,1.383,0.9993,FALSE,31,260,FALSE,FALSE
"Sertraline","Hypoglycemia",70,0.394,66.287,FALSE,209,0.422,0.345,0.505,FALSE,209,96,1.518,0.9998,FALSE,46,259,FALSE,FALSE
"Levothyroxine","Nausea",79,0.361,92.403,FALSE,214,0.387,0.32,0.459,FALSE,214,78,1.439,0.9996,FALSE,37,258,FALSE,FALSE
"Glipizide","Acute kidney injury",74,0.292,133.227,FALSE,225,0.316,0.259,0.376,FALSE,225,78.5,1.341,0.9974,FALSE,19,254,FALSE,FALSE
"Glipizide","Hyperkalemia",82,0.367,92.696,FALSE,213,0.392,0.326,0.464,FALSE,213,96.5,1.435,0.9998,FALSE,46,251,FALSE,FALSE
"Apixaban","Nausea",85,0.372,93.403,FALSE,212,0.397,0.33,0.469,FALSE,212,85,1.449,0.9999,FALSE,50,249,FALSE,FALSE
"Ibuprofen","Gastrointestinal haemorrhage",90,0.405,80.717,FALSE,205,0.431,0.361,0.506,FALSE,205,95.5,1.471,1,FALSE,65,248,FALSE,FALSE
"Sitagliptin","Lactic acidosis",110,0.405,101.105,FALSE,205,0.429,0.366,0.496,FALSE,206,90,1.463,1,FALSE,65,247,FALSE,FALSE
"Warfarin","Hyperkalemia",64,0.274,128.554,FALSE,232,0.299,0.242,0.358,FALSE,232,83.5,1.26,0.9838,FALSE,12,247,FALSE,FALSE
"Amlodipine","Gastrointestinal haemorrhage",88,0.403,79.801,FALSE,207,0.429,0.357,0.504,FALSE,206,94,1.528,1,FALSE,65,245,FALSE,FALSE
"Levothyroxine","Rhabdomyolysis",61,0.279,118.469,FALSE,231,0.304,0.245,0.368,FALSE,231,99,1.352,0.9944,FALSE,16,245,FALSE,FALSE
"Apixaban","Angioedema",68,0.29,123.46,FALSE,226,0.315,0.257,0.376,FALSE,226,88.5,1.41,0.9989,FALSE,27,244,FALSE,FALSE
"Empagliflozin","Dizziness",67,0.342,86.857,FALSE,217,0.369,0.3,0.445,FALSE,216,113,1.527,0.9999,FALSE,50,240,FALSE,FALSE
"Metformin","Peripheral oedema",38,0.19,136.168,FALSE,239,0.215,0.165,0.271,FALSE,239,91.5,1.189,0.8985,FALSE,5,240,FALSE,FALSE
"Omeprazole","Myopathy",73,0.293,130.342,FALSE,223,0.318,0.263,0.381,FALSE,223,82,1.453,0.9996,FALSE,37,240,FALSE,FALSE
"Warfarin","Acute kidney injury",77,0.293,138.317,FALSE,223,0.317,0.263,0.376,FALSE,224,87,1.429,0.9997,FALSE,40,236,FALSE,FALSE
"Glipizide","Headache",62,0.288,113.194,FALSE,228,0.314,0.251,0.382,FALSE,227,103.5,1.506,0.9995,FALSE,34,234,FALSE,FALSE
"Metformin","QT prolongation",44,0.225,121.096,FALSE,236,0.252,0.195,0.317,FALSE,236,85,1.432,0.9958,FALSE,17,234,FALSE,FALSE
"Metformin","Myopathy",44,0.17,189.498,FALSE,240,0.191,0.149,0.238,FALSE,240,74,1.309,0.9805,FALSE,10,233,FALSE,FALSE
"Atorvastatin","Headache",69,0.311,109.049,FALSE,220,0.337,0.274,0.405,FALSE,221,112,1.584,0.9999,FALSE,50,232,FALSE,FALSE
"Lisinopril","Myopathy",67,0.263,145.346,FALSE,233,0.287,0.233,0.347,FALSE,234,94,1.413,0.9986,FALSE,26,230,FALSE,FALSE
"Ibuprofen","Rash",68,0.354,81.849,FALSE,215,0.382,0.31,0.458,FALSE,215,106,1.69,1,FALSE,65,228,FALSE,FALSE
"Atorvastatin","Angioedema",46,0.193,163.445,FALSE,238,0.216,0.168,0.269,FALSE,238,88,1.48,0.9977,FALSE,21,226,FALSE,FALSE
"Apixaban","Headache",63,0.286,116.305,FALSE,229,0.312,0.254,0.379,FALSE,229,96,1.506,0.9997,FALSE,40,225,FALSE,FALSE
"Empagliflozin","Gastrointestinal haemorrhage",58,0.263,124.662,FALSE,233,0.288,0.23,0.353,FALSE,233,98.5,1.535,0.9997,FALSE,40,217,FALSE,FALSE
"Amlodipine","Lactic acidosis",70,0.25,166.872,FALSE,235,0.273,0.223,0.328,FALSE,235,103.5,1.475,0.9997,FALSE,40,213,FALSE,FALSE
"Ibuprofen","Lactic acidosis",81,0.285,153.711,FALSE,230,0.308,0.255,0.369,FALSE,230,96,1.468,0.9999,FALSE,50,213,FALSE,FALSE
"Atorvastatin","Nausea",48,0.205,154.699,FALSE,237,0.229,0.179,0.284,FALSE,237,89.5,1.618,0.9997,FALSE,40,209,FALSE,FALSE
