Reporter_ID,Reporter_Type,Hospital,Country,Reporting_Date
R00456,Nurse,St. Mary's Medical Center,Germany,2023-12-13
R00457,Patient,City General Hospital,South Africa,09/12/2020
R00458,Other Health Professional,City General Hospital,Japan,2022-12-26
R00459,Nurse,St. Mary's Medical Center,United States,18/01/2024
R00460,Patient,National Care Hospital,Canada,2021-06-29
R00461,Nurse,City General Hospital,Japan,21/06/2021
R00462,Lawyer,St. Mary's Medical Center,France,2021-10-02
R00463,Physician,National Care Hospital,Brazil,2020-08-23
R00464,Lawyer,National Care Hospital,United Kingdom,2022-12-09
R00465,Patient,Central Regional Hospital,France,2022-05-03
R00466,Lawyer,National Care Hospital,Brazil,10/06/2021
R00467,Patient,National Care Hospital,Brazil,2022-12-29
R00468,Lawyer,National Care Hospital,South Africa,2022-05-13
R00469,Lawyer,Sunrise Medical Institute,South Africa,2019-10-05
R00470,Physician,Central Regional Hospital,United Kingdom,2024-06-27
R00471,Nurse,Sunrise Medical Institute,India,2024-07-06
R00472,Lawyer,Central Regional Hospital,Japan,2022-01-04
R00473,Other Health Professional,Central Regional Hospital,United Kingdom,2020-06-03
R00474,Patient,City General Hospital,South Africa,2023-07-31
R00475,Physician,Metro Health Clinic,France,2019-03-28
R00476,Lawyer,Metro Health Clinic,Brazil,18/11/2019
R00477,Physician,National Care Hospital,Japan,2023-01-30
R00478,Patient,Sunrise Medical Institute,France,2020-05-17
R00479,Other Health Professional,Sunrise Medical Institute,South Africa,03/03/2020
R00480,Physician,Central Regional Hospital,Australia,23/04/2019
R00481,Other Health Professional,National Care Hospital,United States,2023-12-01
R00482,Patient,Sunrise Medical Institute,United Kingdom,2019-11-21
R00483,Patient,St. Mary's Medical Center,Japan,2020-04-23
R00484,Physician,Metro Health Clinic,India,01/02/2021
R00485,Patient,National Care Hospital,South Africa,2020-01-31
R00486,Pharmacist,Metro Health Clinic,Germany,2019-02-13
R00487,Pharmacist,Central Regional Hospital,India,2023-07-19
R00488,Physician,Sunrise Medical Institute,United States,2022-05-03
R00489,Pharmacist,National Care Hospital,India,2020-06-20
R00490,Lawyer,National Care Hospital,United Kingdom,2019-05-12
R00491,Patient,Metro Health Clinic,South Africa,2020-05-31
R00492,Pharmacist,St. Mary's Medical Center,United States,27/07/2020
R00493,Other Health Professional,Sunrise Medical Institute,South Africa,2021-04-10
R00494,Lawyer,Metro Health Clinic,United Kingdom,2019-09-09
R00495,Physician,Central Regional Hospital,United States,2019-12-01
R00496,Patient,St. Mary's Medical Center,India,2022-02-20
R00497,Patient,Central Regional Hospital,Canada,2019-10-19
R00498,Other Health Professional,Sunrise Medical Institute,Canada,2019-03-08
R00499,Pharmacist,Metro Health Clinic,United States,2024-12-29
R00500,Nurse,Metro Health Clinic,South Africa,2022-08-01
R00501,Physician,St. Mary's Medical Center,India,15/02/2021
R00502,Patient,City General Hospital,South Africa,2020-08-31
R00503,Physician,St. Mary's Medical Center,Brazil,2024-08-08
R00504,Nurse,Central Regional Hospital,United States,2019-03-29
R00505,Patient,Metro Health Clinic,Canada,2024-01-16
R00506,Lawyer,National Care Hospital,Germany,2020-03-24
R00507,Other Health Professional,Central Regional Hospital,India,2022-01-10
R00508,Nurse,St. Mary's Medical Center,South Africa,15/02/2021
R00509,Physician,National Care Hospital,Germany,2022-02-26
R00510,Patient,Sunrise Medical Institute,Japan,2019-04-03
R00511,Other Health Professional,Metro Health Clinic,Brazil,2022-11-21
R00512,Pharmacist,St. Mary's Medical Center,Canada,19/05/2022
R00513,Lawyer,City General Hospital,Germany,2024-06-03
R00514,Physician,National Care Hospital,France,2020-01-28
R00515,Pharmacist,National Care Hospital,South Africa,09/06/2024
R00516,Lawyer,Metro Health Clinic,Japan,2021-02-25
R00517,Physician,Central Regional Hospital,South Africa,2022-01-15
R00518,Patient,Metro Health Clinic,Germany,2019-06-06
R00519,Physician,Sunrise Medical Institute,United Kingdom,2019-09-25
R00520,Lawyer,Metro Health Clinic,Japan,2019-03-02
R00521,Patient,City General Hospital,United States,2021-03-29
R00522,Nurse,National Care Hospital,Brazil,2024-10-26
R00523,Pharmacist,National Care Hospital,United Kingdom,2022-01-09
R00524,Nurse,Sunrise Medical Institute,Canada,2022-10-14
R00525,Other Health Professional,National Care Hospital,Australia,2020-05-29
R00526,Lawyer,Central Regional Hospital,United Kingdom,2024-09-18
R00527,Nurse,St. Mary's Medical Center,Brazil,2020-11-10
R00528,Pharmacist,National Care Hospital,Canada,2019-04-18
R00529,Lawyer,Sunrise Medical Institute,United States,2021-12-07
R00530,Nurse,National Care Hospital,India,2021-02-27
R00531,Physician,Metro Health Clinic,Australia,2021-06-18
R00532,Lawyer,National Care Hospital,Brazil,2024-07-16
R00533,Physician,Central Regional Hospital,Germany,2020-07-29
R00534,Nurse,City General Hospital,Germany,04/07/2019
R00535,Nurse,St. Mary's Medical Center,United States,2021-05-29
R00536,Other Health Professional,National Care Hospital,United Kingdom,2021-02-07
R00537,Pharmacist,Metro Health Clinic,United States,2022-05-20
R00538,Nurse,Central Regional Hospital,France,11/08/2019
R00539,Patient,National Care Hospital,France,2021-09-09
R00540,Pharmacist,National Care Hospital,Brazil,2022-02-20
R00541,Other Health Professional,Metro Health Clinic,South Africa,2024-09-10
R00542,Patient,Sunrise Medical Institute,Brazil,2019-10-18
R00543,Lawyer,Central Regional Hospital,Japan,2020-04-12
R00544,Lawyer,Metro Health Clinic,United Kingdom,2022-04-18
R00545,Patient,National Care Hospital,United Kingdom,2020-10-23
R00546,Other Health Professional,Metro Health Clinic,Germany,2024-07-06
R00547,Lawyer,Sunrise Medical Institute,Australia,06/05/2021
R00548,Patient,National Care Hospital,United Kingdom,02/06/2023
R00549,Pharmacist,Sunrise Medical Institute,United States,2021-09-25
R00550,Nurse,Central Regional Hospital,India,01/12/2019
R00551,Nurse,Sunrise Medical Institute,Canada,2023-04-02
R00552,Nurse,Central Regional Hospital,Japan,13/02/2024
R00553,Lawyer,Central Regional Hospital,Japan,11/04/2020
R00554,Patient,Metro Health Clinic,Japan,2019-05-10
R00555,Physician,St. Mary's Medical Center,France,2024-07-16
R00556,Lawyer,Central Regional Hospital,Japan,2024-05-30
R00557,Pharmacist,Metro Health Clinic,India,2019-03-13
R00558,Nurse,Metro Health Clinic,France,2021-03-31
R00559,Pharmacist,St. Mary's Medical Center,Japan,2020-11-03
R00560,Nurse,City General Hospital,Brazil,2022-08-25
R00561,Lawyer,St. Mary's Medical Center,United States,2024-12-18
R00562,Physician,Metro Health Clinic,South Africa,2022-05-11
R00563,Lawyer,Metro Health Clinic,France,2023-10-15
R00564,Other Health Professional,Sunrise Medical Institute,United Kingdom,2019-12-10
R00565,Nurse,Metro Health Clinic,India,2021-07-31
R00566,Other Health Professional,National Care Hospital,South Africa,2022-07-03
R00567,Pharmacist,Metro Health Clinic,Germany,2021-04-18
R00568,Lawyer,Sunrise Medical Institute,United Kingdom,2020-02-18
R00569,Nurse,Central Regional Hospital,Germany,2024-04-23
R00570,Pharmacist,City General Hospital,India,2019-07-15
R00571,Other Health Professional,National Care Hospital,Canada,2023-05-20
R00572,Nurse,National Care Hospital,Australia,2021-12-17
R00573,Patient,St. Mary's Medical Center,Germany,2023-11-25
R00574,Other Health Professional,City General Hospital,India,2019-01-14
R00575,Nurse,City General Hospital,Australia,2023-07-13
R00576,Other Health Professional,National Care Hospital,India,2020-08-09
R00577,Patient,Central Regional Hospital,United States,2024-08-27
R00578,Lawyer,Sunrise Medical Institute,Australia,2020-04-11
R00579,Physician,Metro Health Clinic,Japan,2024-03-08
R00580,Other Health Professional,Sunrise Medical Institute,South Africa,2019-11-13
R00581,Lawyer,Sunrise Medical Institute,Australia,2022-05-10
R00582,Physician,City General Hospital,Canada,2022-07-28
R00583,Physician,Metro Health Clinic,Germany,2022-03-28
R00584,Nurse,City General Hospital,Japan,2020-08-04
R00585,Pharmacist,St. Mary's Medical Center,Australia,05/01/2023
R00586,Other Health Professional,Sunrise Medical Institute,United Kingdom,2022-09-09
R00587,Physician,City General Hospital,United Kingdom,28/02/2024
R00588,Nurse,St. Mary's Medical Center,India,2022-11-16
R00589,Nurse,Central Regional Hospital,South Africa,22/04/2020
R00590,Physician,City General Hospital,Germany,2021-01-04
R00591,Lawyer,Sunrise Medical Institute,South Africa,2023-01-09
R00592,Patient,St. Mary's Medical Center,India,2024-02-18
R00593,Physician,City General Hospital,Australia,03/10/2022
R00594,Physician,Metro Health Clinic,Germany,2023-11-17
R00595,Patient,Sunrise Medical Institute,United States,2023-01-10
R00596,Lawyer,City General Hospital,France,2021-05-22
R00597,Lawyer,Sunrise Medical Institute,Germany,14/01/2022
R00598,Other Health Professional,Sunrise Medical Institute,Japan,2021-06-29
R00599,Patient,National Care Hospital,South Africa,2024-12-22
R00600,Patient,Metro Health Clinic,Australia,2019-11-19
R00601,Pharmacist,City General Hospital,Germany,02/03/2022
R00602,Patient,City General Hospital,Brazil,2021-09-01
R00603,Physician,Central Regional Hospital,France,2021-04-16
R00604,Pharmacist,Metro Health Clinic,Germany,2020-08-21
R00605,Pharmacist,National Care Hospital,India,2023-05-22
R00606,Other Health Professional,Sunrise Medical Institute,Canada,2020-03-30
R00607,Patient,City General Hospital,France,2019-08-25
R00608,Other Health Professional,Metro Health Clinic,Canada,2020-10-24
R00609,Other Health Professional,National Care Hospital,United States,2023-03-11
R00610,Nurse,National Care Hospital,India,2019-08-04
R00611,Other Health Professional,Metro Health Clinic,Australia,2021-12-29
R00612,Other Health Professional,Central Regional Hospital,Brazil,2021-09-29
R00613,Physician,National Care Hospital,France,2023-07-17
R00614,Patient,National Care Hospital,Canada,2024-08-22
R00615,Pharmacist,Central Regional Hospital,Germany,2024-11-27
R00616,Nurse,St. Mary's Medical Center,South Africa,2022-06-11
R00617,Lawyer,National Care Hospital,India,06/05/2021
R00618,Lawyer,City General Hospital,United Kingdom,04/05/2021
R00619,Lawyer,Metro Health Clinic,Canada,2023-06-15
R00620,Lawyer,St. Mary's Medical Center,France,2022-03-14
R00621,Other Health Professional,City General Hospital,United Kingdom,2021-03-28
R00622,Physician,Sunrise Medical Institute,France,26/01/2024
R00623,Other Health Professional,City General Hospital,Canada,2022-08-11
R00624,Physician,Central Regional Hospital,Germany,2022-03-12
R00625,Patient,Metro Health Clinic,Japan,2019-06-11
R00626,Patient,National Care Hospital,United Kingdom,2022-08-30
R00627,Pharmacist,National Care Hospital,United Kingdom,2023-04-28
R00628,Other Health Professional,St. Mary's Medical Center,Germany,2020-04-09
R00629,Physician,Metro Health Clinic,Germany,2020-12-21
R00630,Patient,Sunrise Medical Institute,South Africa,01/02/2020
R00631,Nurse,Central Regional Hospital,Australia,2021-01-31
R00632,Lawyer,Central Regional Hospital,United Kingdom,2024-01-01
R00633,Physician,St. Mary's Medical Center,United Kingdom,2024-08-03
R00634,Patient,Central Regional Hospital,South Africa,2021-04-02
R00635,Lawyer,National Care Hospital,Brazil,2021-06-10
R00636,Other Health Professional,St. Mary's Medical Center,South Africa,29/01/2019
R00637,Physician,City General Hospital,United Kingdom,2020-06-15
R00638,Lawyer,Metro Health Clinic,Brazil,2021-05-06
R00639,Lawyer,City General Hospital,Australia,2024-04-26
R00640,Lawyer,National Care Hospital,Japan,11/08/2022
R00641,Physician,St. Mary's Medical Center,South Africa,2019-11-17
R00642,Pharmacist,National Care Hospital,South Africa,2020-09-28
R00643,Other Health Professional,St. Mary's Medical Center,Australia,2023-09-27
R00644,Other Health Professional,St. Mary's Medical Center,India,2020-08-28
R00645,Lawyer,City General Hospital,United Kingdom,2021-09-04
R00646,Pharmacist,National Care Hospital,Canada,2021-10-19
R00647,Patient,City General Hospital,Japan,2021-03-24
R00648,Lawyer,National Care Hospital,India,2019-09-13
R00649,Patient,City General Hospital,Brazil,2022-03-27
R00650,Lawyer,City General Hospital,United States,2020-03-17
R00651,Other Health Professional,Sunrise Medical Institute,Japan,2023-06-19
R00652,Other Health Professional,St. Mary's Medical Center,Germany,2020-09-11
R00653,Other Health Professional,National Care Hospital,Australia,24/08/2021
R00654,Other Health Professional,Sunrise Medical Institute,United Kingdom,2022-11-05
R00655,Physician,Central Regional Hospital,Australia,25/08/2020
R00656,Physician,National Care Hospital,Germany,2024-10-22
R00657,Pharmacist,Central Regional Hospital,Canada,29/07/2021
R00658,Patient,Sunrise Medical Institute,United Kingdom,2022-05-13
R00659,Nurse,Metro Health Clinic,India,22/05/2019
R00660,Other Health Professional,St. Mary's Medical Center,Japan,2019-01-25
R00661,Nurse,St. Mary's Medical Center,Canada,2022-01-08
R00662,Other Health Professional,Metro Health Clinic,India,09/04/2022
R00663,Other Health Professional,Metro Health Clinic,Canada,2024-07-24
R00664,Pharmacist,Sunrise Medical Institute,Germany,07/08/2024
R00665,Pharmacist,City General Hospital,United States,2024-09-07
R00666,Physician,Sunrise Medical Institute,India,2019-09-27
R00667,Pharmacist,Central Regional Hospital,South Africa,2019-02-13
R00668,Lawyer,St. Mary's Medical Center,United Kingdom,2023-12-27
R00669,Physician,Central Regional Hospital,Germany,2022-06-24
R00670,Physician,Metro Health Clinic,South Africa,17/05/2022
R00671,Physician,National Care Hospital,Germany,2023-05-17
R00672,Nurse,Metro Health Clinic,India,2023-10-02
R00673,Patient,National Care Hospital,Australia,2024-04-03
R00674,Patient,National Care Hospital,Australia,27/08/2023
R00675,Other Health Professional,National Care Hospital,Germany,2023-11-29
R00676,Other Health Professional,National Care Hospital,Brazil,2019-03-23
R00677,Physician,Central Regional Hospital,Japan,27/12/2019
R00678,Physician,Sunrise Medical Institute,Germany,17/09/2019
R00679,Lawyer,St. Mary's Medical Center,United Kingdom,2022-11-10
R00680,Physician,City General Hospital,Canada,2019-07-13
R00681,Nurse,City General Hospital,Brazil,2023-08-21
R00682,Other Health Professional,Sunrise Medical Institute,United States,2020-09-14
R00683,Patient,City General Hospital,Brazil,2019-06-22
R00684,Physician,Metro Health Clinic,United States,2022-01-28
R00685,Lawyer,Sunrise Medical Institute,Brazil,2024-09-03
R00686,Physician,Metro Health Clinic,Germany,2019-12-23
R00687,Patient,St. Mary's Medical Center,United States,2019-07-23
R00688,Other Health Professional,Sunrise Medical Institute,Canada,2024-11-15
R00689,Patient,St. Mary's Medical Center,Germany,2022-09-19
R00690,Other Health Professional,Metro Health Clinic,Japan,2020-11-08
R00691,Lawyer,St. Mary's Medical Center,Brazil,2020-04-18
R00692,Lawyer,City General Hospital,United States,2019-08-12
R00693,Patient,City General Hospital,United States,2021-06-02
R00694,Pharmacist,Metro Health Clinic,Australia,2020-08-04
R00695,Physician,National Care Hospital,Germany,2020-07-24
R00696,Physician,Central Regional Hospital,Brazil,2024-04-02
R00697,Other Health Professional,Sunrise Medical Institute,United Kingdom,2024-04-22
R00698,Patient,City General Hospital,Japan,2020-11-16
R00699,Nurse,St. Mary's Medical Center,Brazil,2020-01-28
R00700,Lawyer,Metro Health Clinic,South Africa,2022-02-19
R00701,Lawyer,Central Regional Hospital,Australia,2020-04-04
R00702,Nurse,Central Regional Hospital,Brazil,2020-09-11
R00703,Lawyer,National Care Hospital,Japan,2024-01-28
R00704,Pharmacist,City General Hospital,Japan,2021-08-10
R00705,Physician,Central Regional Hospital,Brazil,2019-03-07
R00706,Nurse,Central Regional Hospital,Australia,2019-11-30
R00707,Physician,National Care Hospital,Germany,2022-12-03
R00708,Other Health Professional,Central Regional Hospital,United States,2020-09-14
R00709,Other Health Professional,Central Regional Hospital,Japan,2022-02-04
R00710,Pharmacist,St. Mary's Medical Center,United Kingdom,2021-09-10
R00711,Other Health Professional,St. Mary's Medical Center,Australia,2019-10-03
R00712,Nurse,Metro Health Clinic,France,2023-04-10
R00713,Physician,St. Mary's Medical Center,Germany,2022-10-28
R00714,Physician,Metro Health Clinic,United Kingdom,2019-02-09
R00715,Lawyer,Central Regional Hospital,South Africa,2022-05-01
R00716,Nurse,City General Hospital,United Kingdom,2020-09-18
R00717,Lawyer,Metro Health Clinic,France,2021-01-24
R00718,Pharmacist,Central Regional Hospital,Brazil,25/08/2022
R00719,Physician,Central Regional Hospital,Germany,2020-02-12
R00720,Nurse,City General Hospital,Canada,02/07/2019
R00721,Nurse,City General Hospital,United States,2024-09-05
R00722,Physician,Central Regional Hospital,France,2024-01-17
R00723,Physician,Sunrise Medical Institute,United Kingdom,03/09/2019
R00724,Patient,St. Mary's Medical Center,Japan,2020-03-25
R00725,Physician,Metro Health Clinic,Brazil,2023-10-29
R00726,Pharmacist,Sunrise Medical Institute,Canada,2021-06-26
R00727,Patient,Metro Health Clinic,Germany,2022-08-05
R00728,Pharmacist,Central Regional Hospital,Germany,19/03/2023
R00729,Lawyer,Central Regional Hospital,United States,2021-11-12
R00730,Other Health Professional,St. Mary's Medical Center,Canada,15/05/2019
R00731,Physician,Sunrise Medical Institute,United Kingdom,2022-09-30
R00732,Physician,St. Mary's Medical Center,Germany,08/11/2022
R00733,Nurse,City General Hospital,Australia,2024-04-21
R00734,Lawyer,National Care Hospital,Australia,2024-07-04
R00735,Pharmacist,Metro Health Clinic,India,2021-12-05
R00736,Pharmacist,National Care Hospital,Japan,2019-06-05
R00737,Nurse,Sunrise Medical Institute,Germany,12/01/2021
R00738,Nurse,City General Hospital,France,2024-12-21
R00739,Lawyer,Metro Health Clinic,Japan,2021-08-10
R00740,Other Health Professional,St. Mary's Medical Center,Canada,2024-07-04
R00741,Lawyer,St. Mary's Medical Center,South Africa,2023-09-01
R00742,Nurse,City General Hospital,Brazil,09/09/2020
R00743,Nurse,Metro Health Clinic,United Kingdom,20/03/2024
R00744,Pharmacist,Metro Health Clinic,South Africa,04/08/2021
R00745,Nurse,Sunrise Medical Institute,Australia,2022-01-20
R00746,Lawyer,National Care Hospital,Australia,2024-09-26
R00747,Pharmacist,St. Mary's Medical Center,Canada,2024-04-10
R00748,Nurse,Central Regional Hospital,United States,24/04/2021
R00749,Pharmacist,City General Hospital,United States,2020-08-07
R00750,Physician,St. Mary's Medical Center,South Africa,2020-03-11
R00751,Lawyer,Metro Health Clinic,United States,07/01/2020
R00752,Other Health Professional,National Care Hospital,Australia,2024-07-06
R00753,Patient,St. Mary's Medical Center,Japan,2023-11-25
R00754,Lawyer,Metro Health Clinic,United Kingdom,2024-09-03
R00755,Nurse,Metro Health Clinic,Canada,2019-09-01
R00756,Physician,Sunrise Medical Institute,Germany,2022-10-10
R00757,Other Health Professional,Central Regional Hospital,Australia,2021-07-27
R00758,Physician,St. Mary's Medical Center,Canada,2020-02-04
R00759,Nurse,Central Regional Hospital,Australia,2019-12-16
R00760,Pharmacist,National Care Hospital,India,2019-04-29
R00761,Nurse,Metro Health Clinic,Japan,2022-06-13
R00762,Patient,Sunrise Medical Institute,France,2020-08-06
R00763,Lawyer,Central Regional Hospital,Australia,2021-05-29
R00764,Pharmacist,St. Mary's Medical Center,United Kingdom,2023-12-24
R00765,Pharmacist,St. Mary's Medical Center,Canada,2024-11-21
R00766,Nurse,St. Mary's Medical Center,Germany,2019-09-06
R00767,Nurse,City General Hospital,Germany,2024-05-07
R00768,Other Health Professional,Metro Health Clinic,South Africa,2023-04-05
R00769,Other Health Professional,City General Hospital,Germany,2021-01-09
R00770,Pharmacist,City General Hospital,United States,2021-08-23
R00771,Nurse,Central Regional Hospital,Japan,10/09/2024
R00772,Lawyer,Central Regional Hospital,India,2019-04-08
R00773,Other Health Professional,Sunrise Medical Institute,Germany,2021-11-02
R00774,Lawyer,Metro Health Clinic,South Africa,2024-04-24
R00775,Nurse,Central Regional Hospital,Japan,2019-07-08
R00776,Other Health Professional,Central Regional Hospital,India,2024-07-30
R00777,Pharmacist,Metro Health Clinic,United States,2021-04-06
R00778,Physician,Central Regional Hospital,Japan,23/07/2023
R00779,Pharmacist,Metro Health Clinic,Japan,03/08/2023
R00780,Lawyer,St. Mary's Medical Center,Canada,2023-11-29
R00781,Nurse,Metro Health Clinic,Brazil,2019-08-29
R00782,Lawyer,Sunrise Medical Institute,India,2023-05-20
R00783,Lawyer,Metro Health Clinic,Canada,22/12/2021
R00784,Other Health Professional,City General Hospital,Canada,2024-02-05
R00785,Pharmacist,Central Regional Hospital,United Kingdom,2021-10-28
R00786,Pharmacist,Sunrise Medical Institute,Brazil,2023-10-23
R00787,Physician,Sunrise Medical Institute,United States,2020-03-06
R00788,Pharmacist,National Care Hospital,Japan,2024-09-30
R00789,Nurse,Metro Health Clinic,France,2022-07-22
R00790,Other Health Professional,Central Regional Hospital,South Africa,2022-11-30
R00791,Physician,National Care Hospital,France,2020-09-07
R00792,Patient,Central Regional Hospital,United Kingdom,2021-02-18
R00793,Pharmacist,Metro Health Clinic,United Kingdom,2023-08-29
R00794,Physician,Metro Health Clinic,France,22/07/2024
R00795,Physician,Central Regional Hospital,United States,26/09/2021
R00796,Physician,Metro Health Clinic,Germany,2022-09-08
R00797,Pharmacist,City General Hospital,United States,2023-05-27
R00798,Lawyer,Metro Health Clinic,Canada,2020-12-26
R00799,Lawyer,Metro Health Clinic,South Africa,2022-02-26
R00800,Patient,St. Mary's Medical Center,Brazil,2021-03-30
